movieId,title,genres,year
1,Toy Story,Adventure|Animation|Children|Comedy|Fantasy,1995
2,Jumanji,Adventure|Children|Fantasy,1995
3,Grumpier Old Men,Comedy|Romance,1995
4,Waiting to Exhale,Comedy|Drama|Romance,1995
5,Father of the Bride Part II,Comedy,1995
6,Heat,Action|Crime|Thriller,1995
7,Sabrina,Comedy|Romance,1995
8,Tom and Huck,Adventure|Children,1995
9,Sudden Death,Action,1995
10,GoldenEye,Action|Adventure|Thriller,1995
11,"American President, The",Comedy|Drama|Romance,1995
12,Dracula: Dead and Loving It,Comedy|Horror,1995
13,Balto,Adventure|Animation|Children,1995
14,Nixon,Drama,1995
15,Cutthroat Island,Action|Adventure|Romance,1995
16,Casino,Crime|Drama,1995
17,Sense and Sensibility,Drama|Romance,1995
18,Four Rooms,Comedy,1995
19,Ace Ventura: When Nature Calls,Comedy,1995
20,Money Train,Action|Comedy|Crime|Drama|Thriller,1995
21,Get Shorty,Comedy|Crime|Thriller,1995
22,Copycat,Crime|Drama|Horror|Mystery|Thriller,1995
23,Assassins,Action|Crime|Thriller,1995
24,Powder,Drama|Sci-Fi,1995
25,Leaving Las Vegas,Drama|Romance,1995
26,Othello,Drama,1995
27,Now and Then,Children|Drama,1995
28,Persuasion,Drama|Romance,1995
29,"City of Lost Children, The (Cité des enfants perdus, La)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,1995
30,Shanghai Triad (Yao a yao yao dao waipo qiao),Crime|Drama,1995
31,Dangerous Minds,Drama,1995
32,Twelve Monkeys (a.k.a. 12 Monkeys),Mystery|Sci-Fi|Thriller,1995
34,Babe,Children|Drama,1995
35,Carrington,Drama|Romance,1995
36,Dead Man Walking,Crime|Drama,1995
37,Across the Sea of Time,Documentary|IMAX,1995
38,It Takes Two,Children|Comedy,1995
39,Clueless,Comedy|Romance,1995
40,"Cry, the Beloved Country",Drama,1995
41,Richard III,Drama|War,1995
42,Dead Presidents,Action|Crime|Drama,1995
43,Restoration,Drama,1995
44,Mortal Kombat,Action|Adventure|Fantasy,1995
45,To Die For,Comedy|Drama|Thriller,1995
46,How to Make an American Quilt,Drama|Romance,1995
47,Seven (a.k.a. Se7en),Mystery|Thriller,1995
48,Pocahontas,Animation|Children|Drama|Musical|Romance,1995
49,When Night Is Falling,Drama|Romance,1995
50,"Usual Suspects, The",Crime|Mystery|Thriller,1995
52,Mighty Aphrodite,Comedy|Drama|Romance,1995
53,Lamerica,Adventure|Drama,1994
54,"Big Green, The",Children|Comedy,1995
55,Georgia,Drama,1995
57,Home for the Holidays,Drama,1995
58,"Postman, The (Postino, Il)",Comedy|Drama|Romance,1994
59,"Confessional, The (Confessionnal, Le)",Drama|Mystery,1995
60,"Indian in the Cupboard, The",Adventure|Children|Fantasy,1995
61,Eye for an Eye,Drama|Thriller,1996
62,Mr. Holland's Opus,Drama,1995
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Comedy|Crime,1996
64,Two if by Sea,Comedy|Romance,1996
65,Bio-Dome,Comedy,1996
66,Lawnmower Man 2: Beyond Cyberspace,Action|Sci-Fi|Thriller,1996
68,French Twist (Gazon maudit),Comedy|Romance,1995
69,Friday,Comedy,1995
70,From Dusk Till Dawn,Action|Comedy|Horror|Thriller,1996
71,Fair Game,Action,1995
72,Kicking and Screaming,Comedy|Drama,1995
73,"Misérables, Les",Drama|War,1995
74,Bed of Roses,Drama|Romance,1996
76,Screamers,Action|Sci-Fi|Thriller,1995
77,Nico Icon,Documentary,1995
78,"Crossing Guard, The",Action|Crime|Drama|Thriller,1995
79,"Juror, The",Drama|Thriller,1996
80,"White Balloon, The (Badkonake sefid)",Children|Drama,1995
81,Things to Do in Denver When You're Dead,Crime|Drama|Romance,1995
82,Antonia's Line (Antonia),Comedy|Drama,1995
83,Once Upon a Time... When We Were Colored,Drama|Romance,1995
84,Last Summer in the Hamptons,Comedy|Drama,1995
85,Angels and Insects,Drama|Romance,1995
86,White Squall,Action|Adventure|Drama,1996
87,Dunston Checks In,Children|Comedy,1996
88,Black Sheep,Comedy,1996
89,Nick of Time,Action|Thriller,1995
92,Mary Reilly,Drama|Horror|Thriller,1996
93,Vampire in Brooklyn,Comedy|Horror|Romance,1995
94,Beautiful Girls,Comedy|Drama|Romance,1996
95,Broken Arrow,Action|Adventure|Thriller,1996
96,In the Bleak Midwinter,Comedy|Drama,1995
97,"Hate (Haine, La)",Crime|Drama,1995
98,Shopping,Action|Thriller,1994
99,Heidi Fleiss: Hollywood Madam,Documentary,1995
100,City Hall,Drama|Thriller,1996
101,Bottle Rocket,Adventure|Comedy|Crime|Romance,1996
102,Mr. Wrong,Comedy,1996
103,Unforgettable,Mystery|Sci-Fi|Thriller,1996
104,Happy Gilmore,Comedy,1996
105,"Bridges of Madison County, The",Drama|Romance,1995
107,Muppet Treasure Island,Adventure|Children|Comedy|Musical,1996
108,Catwalk,Documentary,1996
110,Braveheart,Action|Drama|War,1995
111,Taxi Driver,Crime|Drama|Thriller,1976
112,Rumble in the Bronx (Hont faan kui),Action|Adventure|Comedy|Crime,1995
113,Before and After,Drama|Mystery,1996
114,Margaret's Museum,Drama,1995
116,Anne Frank Remembered,Documentary,1995
117,"Young Poisoner's Handbook, The",Crime|Drama,1995
118,If Lucy Fell,Comedy|Romance,1996
119,"Steal Big, Steal Little",Comedy,1995
121,"Boys of St. Vincent, The",Drama,1992
122,Boomerang,Comedy|Romance,1992
123,Chungking Express (Chung Hing sam lam),Drama|Mystery|Romance,1994
124,"Star Maker, The (Uomo delle stelle, L')",Drama,1995
125,Flirting With Disaster,Comedy,1996
126,"NeverEnding Story III, The",Adventure|Children|Fantasy,1994
129,Pie in the Sky,Comedy|Romance,1996
130,Angela,Drama,1995
131,Frankie Starlight,Drama|Romance,1995
132,Jade,Thriller,1995
135,Down Periscope,Comedy,1996
137,Man of the Year,Documentary,1995
140,Up Close and Personal,Drama|Romance,1996
141,"Birdcage, The",Comedy,1996
144,"Brothers McMullen, The",Comedy,1995
145,Bad Boys,Action|Comedy|Crime|Drama|Thriller,1995
146,"Amazing Panda Adventure, The",Adventure|Children,1995
147,"Basketball Diaries, The",Drama,1995
148,"Awfully Big Adventure, An",Drama,1995
149,Amateur,Crime|Drama|Thriller,1994
150,Apollo 13,Adventure|Drama|IMAX,1995
151,Rob Roy,Action|Drama|Romance|War,1995
152,"Addiction, The",Drama|Horror,1995
153,Batman Forever,Action|Adventure|Comedy|Crime,1995
154,Beauty of the Day (Belle de jour),Drama,1967
155,Beyond Rangoon,Adventure|Drama|War,1995
156,Blue in the Face,Comedy|Drama,1995
157,Canadian Bacon,Comedy|War,1995
158,Casper,Adventure|Children,1995
159,Clockers,Crime|Drama|Mystery,1995
160,Congo,Action|Adventure|Mystery|Sci-Fi,1995
161,Crimson Tide,Drama|Thriller|War,1995
162,Crumb,Documentary,1994
163,Desperado,Action|Romance|Western,1995
164,Devil in a Blue Dress,Crime|Film-Noir|Mystery|Thriller,1995
165,Die Hard: With a Vengeance,Action|Crime|Thriller,1995
166,"Doom Generation, The",Comedy|Crime|Drama,1995
167,Feast of July,Drama,1995
168,First Knight,Action|Drama|Romance,1995
169,Free Willy 2: The Adventure Home,Adventure|Children|Drama,1995
170,Hackers,Action|Adventure|Crime|Thriller,1995
171,Jeffrey,Comedy|Drama,1995
172,Johnny Mnemonic,Action|Sci-Fi|Thriller,1995
173,Judge Dredd,Action|Crime|Sci-Fi,1995
174,Jury Duty,Comedy,1995
175,Kids,Drama,1995
176,Living in Oblivion,Comedy,1995
177,Lord of Illusions,Horror,1995
178,Love & Human Remains,Comedy|Drama,1993
179,Mad Love,Drama|Romance,1995
180,Mallrats,Comedy|Romance,1995
181,Mighty Morphin Power Rangers: The Movie,Action|Children,1995
183,Mute Witness,Comedy|Horror|Thriller,1994
184,Nadja,Drama,1994
185,"Net, The",Action|Crime|Thriller,1995
186,Nine Months,Comedy|Romance,1995
187,Party Girl,Comedy,1995
188,"Prophecy, The",Fantasy|Horror|Mystery,1995
189,Reckless,Comedy|Fantasy,1995
190,Safe,Thriller,1995
191,"Scarlet Letter, The",Drama|Romance,1995
193,Showgirls,Drama,1995
194,Smoke,Comedy|Drama,1995
195,Something to Talk About,Comedy|Drama|Romance,1995
196,Species,Horror|Sci-Fi,1995
198,Strange Days,Action|Crime|Drama|Mystery|Sci-Fi|Thriller,1995
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les)",Drama|Musical|Romance,1964
200,"Tie That Binds, The",Thriller,1995
201,Three Wishes,Drama|Fantasy,1995
202,Total Eclipse,Drama|Romance,1995
203,"To Wong Foo, Thanks for Everything! Julie Newmar",Comedy,1995
204,Under Siege 2: Dark Territory,Action,1995
205,Unstrung Heroes,Comedy|Drama,1995
206,Unzipped,Documentary,1995
207,"Walk in the Clouds, A",Drama|Romance,1995
208,Waterworld,Action|Adventure|Sci-Fi,1995
209,White Man's Burden,Drama,1995
211,"Browning Version, The",Drama,1994
213,Burnt by the Sun (Utomlyonnye solntsem),Drama,1994
214,Before the Rain (Pred dozhdot),Drama|War,1994
215,Before Sunrise,Drama|Romance,1995
216,Billy Madison,Comedy,1995
217,"Babysitter, The",Drama|Thriller,1995
218,Boys on the Side,Comedy|Drama,1995
219,"Cure, The",Drama,1995
220,Castle Freak,Horror,1995
222,Circle of Friends,Drama|Romance,1995
223,Clerks,Comedy,1994
224,Don Juan DeMarco,Comedy|Drama|Romance,1995
225,Disclosure,Drama|Thriller,1994
227,Drop Zone,Action|Thriller,1994
228,Destiny Turns on the Radio,Comedy,1995
229,Death and the Maiden,Drama|Thriller,1994
230,Dolores Claiborne,Drama|Thriller,1995
231,Dumb & Dumber (Dumb and Dumber),Adventure|Comedy,1994
232,Eat Drink Man Woman (Yin shi nan nu),Comedy|Drama|Romance,1994
233,Exotica,Drama,1994
234,Exit to Eden,Comedy,1994
235,Ed Wood,Comedy|Drama,1994
236,French Kiss,Action|Comedy|Romance,1995
237,Forget Paris,Comedy|Romance,1995
238,Far From Home: The Adventures of Yellow Dog,Adventure|Children,1995
239,"Goofy Movie, A",Animation|Children|Comedy|Romance,1995
240,Hideaway,Thriller,1995
241,Fluke,Children|Drama,1995
242,Farinelli: il castrato,Drama|Musical,1994
243,Gordy,Children|Comedy|Fantasy,1995
244,Gumby: The Movie,Animation|Children,1995
245,The Glass Shield,Crime|Drama,1994
246,Hoop Dreams,Documentary,1994
247,Heavenly Creatures,Crime|Drama,1994
248,Houseguest,Comedy,1994
249,Immortal Beloved,Drama|Romance,1994
250,Heavyweights (Heavy Weights),Children|Comedy,1995
251,"Hunted, The",Action,1995
252,I.Q.,Comedy|Romance,1994
253,Interview with the Vampire: The Vampire Chronicles,Drama|Horror,1994
254,Jefferson in Paris,Drama,1995
255,"Jerky Boys, The",Comedy,1995
256,Junior,Comedy|Sci-Fi,1994
257,Just Cause,Mystery|Thriller,1995
258,"Kid in King Arthur's Court, A",Adventure|Children|Comedy|Fantasy|Romance,1995
259,Kiss of Death,Crime|Drama|Thriller,1995
260,Star Wars: Episode IV - A New Hope,Action|Adventure|Sci-Fi,1977
261,Little Women,Drama,1994
262,"Little Princess, A",Children|Drama,1995
263,Ladybird Ladybird,Drama,1994
264,"Enfer, L'",Drama,1994
265,Like Water for Chocolate (Como agua para chocolate),Drama|Fantasy|Romance,1992
266,Legends of the Fall,Drama|Romance|War|Western,1994
267,Major Payne,Comedy,1995
268,Little Odessa,Crime|Drama,1994
269,My Crazy Life (Mi vida loca),Drama,1993
270,Love Affair,Drama|Romance,1994
271,Losing Isaiah,Drama,1995
272,"Madness of King George, The",Comedy|Drama,1994
273,Mary Shelley's Frankenstein (Frankenstein),Drama|Horror|Sci-Fi,1994
274,Man of the House,Comedy,1995
275,Mixed Nuts,Comedy,1994
276,Milk Money,Comedy|Romance,1994
277,Miracle on 34th Street,Drama,1994
278,Miami Rhapsody,Comedy,1995
279,My Family,Drama,1995
280,Murder in the First,Drama|Thriller,1995
281,Nobody's Fool,Comedy|Drama|Romance,1994
282,Nell,Drama,1994
283,New Jersey Drive,Crime|Drama,1995
285,Beyond Bedlam,Drama|Horror,1993
287,Nina Takes a Lover,Comedy|Romance,1994
288,Natural Born Killers,Action|Crime|Thriller,1994
289,Only You,Comedy|Romance,1994
290,Once Were Warriors,Crime|Drama,1994
291,Poison Ivy II,Drama|Thriller,1996
292,Outbreak,Action|Drama|Sci-Fi|Thriller,1995
